Case Number,Code,Report Time,Status,Occurred1,Occurred2,Building,Location,Stolen,Damaged,Description
18000764,ALCOHOL - USING FALSE I.D.,2018-02-22 00:44:00,Closed - Cleared by Arrest-Adult,2018-02-22 00:44:00,,Howard L. Hawks Hall,730 N 14th St (UNL ACADEMIC BUILDING),0.0,0.0,Fake ID located in wallet from Hawks Hall. Person responsible is a UNL student who was cited/released for possession of a fake ID. 
18000766,ALCOHOL - DWI,2018-02-22 01:36:00,Closed - Cleared by Arrest-Adult,2018-02-22 01:36:00,,515 N 19th Parking Lot Vine to,515 N 19th St (GOV'T PARKING LOT (UNL)),0.0,0.0,"Four UNL students contacted in a vehicle at the parking lot, 515 N 19 St. Students were cited for a combination of DWI-.02 violation, MIP, possessing an open alcohol container, and possession of marijuana. Student in physical control of the vehicle had a BAC of .063."
18000765,"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",2018-02-22 05:22:00,Closed - Non-Criminal Case,Unknown,,Chase Hall,3605 Fair St (GOV'T LOT/FIELD (UNL)),0.0,0.0,Property damage to sapling on UNL East Campus. Unknown method of damage. 
